1698326513.522225	800.0	3.999999	2.922	316194	2887	0	1698326514026
1698326515.534927	400.0	5.953181	0.0	217151	1975	0	1698326516091
1698326517.7958245	400.0	7.692197000000001	0.0	242176	2231	0	1698326518351
1698326519.7150905	400.0	9.788038	0.0	204579	1869	0	1698326520255
1698326521.3643322	400.0	12.125307999999999	0.0	178072	1622	0	1698326521919
1698326523.4394221	400.0	14.049047999999999	0.0	223873	2049	0	1698326523995
1698326525.3136926	400.0	16.175023	0.0	200981	1838	0	1698326525869
1698326527.1807206	400.0	18.308072	0.0	201095	1831	0	1698326527736
1698326529.0335395	400.0	20.454673000000003	0.0	198286	1814	0	1698326529590
1698326531.2767804	400.0	22.211826000000002	0.0	241275	2206	0	1698326531832
1698326533.18424	400.0	24.304101000000003	0.0	204418	1873	0	1698326533740
1698326534.952675	400.0	26.534888000000002	0.0	190800	1736	0	1698326535509
1698326537.042822	400.0	28.445492	0.0	223557	2048	0	1698326537598
1698326538.7575536	400.0	30.730876000000002	0.0	185144	1674	0	1698326539313
1698326541.2524142	400.0	32.236022000000006	0.0	267346	2454	0	1698326541802
1698326543.4868314	400.0	34.00068400000001	0.0	240806	2201	0	1698326544044
1698326545.2543528	400.0	36.233943000000004	0.0	189334	1727	0	1698326545810
1698326547.1709492	400.0	38.317436	0.0	206009	1878	0	1698326547724
1698326548.9847648	400.0	40.502462	0.0	195921	1775	0	1698326549542
1698326550.084323	400.0	43.403303	0.0	118742	1064	0	1698326550641
1698326551.7308285	400.0	45.757553	0.0	176433	1608	0	1698326552284
1698326553.3307323	400.0	48.157639	0.0	171374	1565	0	1698326553887
1698326555.0948653	400.0	50.393213	0.0	188806	1728	0	1698326555651
1698326557.46878	400.0	52.018579	0.0	255273	2336	0	1698326558026
1698326564.1364856	1200.0	49.350975000000005	0.0	715012	6626	0	1698326564690
1698326569.4909704	1200.0	47.996982	0.0	575891	5315	0	1698326570044
1698326574.2349427	1200.0	47.252149	0.0	510745	4707	0	1698326574789
1698326578.675907	1200.0	46.811847	0.0	476056	4424	0	1698326579229
1698326583.6224394	1200.0	45.86527600000001	0.0	530683	4903	0	1698326584174
1698326588.61222	1200.0	44.87553700000001	0.0	537123	4952	0	1698326589165
1698326593.8367379	1200.0	43.65069200000001	0.0	558548	5183	0	1698326594386
1698326598.15605	1200.0	43.331449000000006	0.0	458367	4282	0	1698326598710
1698326604.4203613	1200.0	41.067278	0.0	665517	6223	0	1698326604970
1698326611.0481706	1200.0	38.43918500000001	0.0	705566	6585	0	1698326611601
1698326617.6823163	1200.0	35.804303000000004	0.0	701818	6594	0	1698326618236
1698326627.9128284	1200.0	29.574737	0.0	1088200	10189	0	1698326628465
1698326634.041666	1200.0	27.445323000000002	0.0	655716	6091	0	1698326634595
1698326638.5588288	1200.0	26.927963000000005	0.0	484147	4480	0	1698326639113
1698326644.4143753	1200.0	25.072372	0.0	625984	5817	0	1698326644968
1698326649.4779036	1200.0	24.00831199999999	0.0	542999	5019	0	1698326650030
1698326655.1102338	1200.0	22.376599999999996	0.0	604356	5593	0	1698326655664
1698326660.2242343	1200.0	21.262209000000013	0.0	485803	5077	0	1698326660779
1698326664.0143797	1200.0	21.47230300000001	0.0	405463	3748	0	1698326664567
1698326668.8229282	1200.0	20.66330099999999	0.0	516195	4769	0	1698326669376
1698326674.920348	1200.0	18.566057999999998	0.0	650649	6019	0	1698326675471
1698326679.9855118	1200.0	17.499957999999992	0.0	541069	5029	0	1698326680541
1698326687.619609	1200.0	13.866878000000014	0.0	819931	7586	0	1698326688170
1698326689.8380547	400.0	15.64828700000001	0.0	238333	2182	0	1698326690393
1698326691.385757	400.0	18.100393999999994	0.0	164724	1514	0	1698326691944
