1700500164.5953186	800.0	3.999999	2.922	316194	2902	0
1700500166.618453	400.0	5.932072	0.0	217151	1984	0
1700500173.2837162	1200.0	4.311944	1.047	715326	6619	0
1700500175.1924105	400.0	6.403419000000001	0.0	204579	1891	0
1700500184.961722	2400.0	4.334254999999999	3.7	1048166	9727	0
1700500187.0470078	400.0	6.247961	0.0	223873	2069	0
1700500198.5582812	2400.0	4.344358	5.603	1234972	11488	0
1700500200.4298608	400.0	6.4709129999999995	0.0	201095	1856	0
1700500210.4167874	2400.0	4.404545000000002	3.924	1072053	9956	0
1700500212.6639836	400.0	6.156841	0.0	241275	2232	0
1700500223.5498421	2400.0	4.369453	5.099	1169165	10869	0
1700500225.3310213	400.0	6.5891459999999995	0.0	190800	1760	0
1700500237.5315142	2400.0	4.45138	6.063	1308733	12168	0
1700500239.249295	400.0	6.733175000000003	0.0	185144	1702	0
1700500253.2695909	2400.0	4.425229999999999	7.71	1504549	13982	0
1700500255.506763	400.0	6.190215000000002	0.0	240806	2219	0
1700500265.928552	2400.0	4.458117000000001	4.694	1118872	10406	0
1700500267.8479383	400.0	6.540867000000006	0.0	206009	1902	0
1700500279.092779	2400.0	4.3948819999999955	5.101	1207094	11209	0
1700500280.2017796	400.0	7.286855000000003	0.0	118742	1091	0
1700500300.3959444	4800.0	4.491933000000003	13.4	2164047	20137	0
1700500301.9820836	400.0	6.905116000000007	0.0	171374	1570	0
1700500311.9154484	2400.0	4.369777999999997	3.399	1066962	9901	0
1700500314.2945707	400.0	5.992759000000007	0.0	255273	2359	0
1700500320.9556782	1200.0	4.3448939999999965	1.012	715012	6643	0
1700500322.763884	400.0	6.532183000000003	0.0	194809	1797	0
1700500332.3900108	2400.0	4.328973000000005	3.422	1032804	9590	0
1700500333.8788805	400.0	6.839308000000003	0.0	160285	1477	0
1700500343.411835	2400.0	4.322455000000005	3.017	1023267	9502	0
1700500345.1257968	400.0	6.609193000000005	0.0	183914	1696	0
1700500355.6131775	2400.0	4.461708000000002	4.341	1125196	10451	0
1700500357.0962248	400.0	6.984853999999999	0.0	158138	1460	0
1700500382.3959877	4800.0	4.318125000000009	18.64	2718255	25272	0
1700500384.6779778	400.0	6.035843999999997	0.0	245702	2265	0
1700500391.2049954	1200.0	4.392581000000007	0.881	701818	6506	0
1700500394.43442	400.0	5.161847999999992	0.0	347079	3212	0
1700500396.409718	400.0	7.1840799999999945	0.0	212825	1964	0
1700500415.2100499	4800.0	4.230609000000015	11.846	2017970	18762	0
1700500417.2609634	400.0	6.180421999999993	0.0	220543	2027	0
1700500427.8801966	2400.0	4.414997	4.737	1127695	10482	0
1700500429.7910676	400.0	6.385792000000009	0.0	207304	1892	0
1700500438.7427342	2400.0	4.322462999999999	2.889	961341	8918	0
1700500439.95775	400.0	7.114778999999999	0.0	129709	1191	0
1700500457.598724	4800.0	4.324721000000011	10.857	1893802	17613	0
1700500459.5941706	400.0	6.332626000000005	0.0	214286	1976	0
1700500469.610994	2400.0	4.312252999999998	4.001	1075859	9987	0
1700500472.0937386	400.0	5.828618000000006	0.0	267031	2459	0
1700500478.7228968	1200.0	4.363922000000002	1.165	712315	6612	0
1700500480.2601104	400.0	6.828730000000007	0.0	164724	1516	0
1700500486.0776763	2400.0	5.0081989999999905	0.0	624588	5784	0
1700500488.205166	400.0	6.882467999999989	0.0	228253	2106	0
1700500497.6118178	2400.0	4.255529999999993	2.781	1010471	9384	0
1700500499.5559192	400.0	6.31115299999999	0.0	208424	1929	0
1700500513.0768251	2400.0	4.420095000000003	7.629	1450752	13484	0
1700500515.205361	400.0	6.299283000000003	0.0	228225	2103	0
1700500523.055347	2400.0	4.370944000000009	1.929	843271	7832	0
1700500524.6057432	400.0	6.821846999999991	0.0	166133	1533	0
1700500537.1247993	2400.0	4.484114000000005	6.183	1344119	12490	0
1700500539.263681	400.0	6.345745999999991	0.0	230062	2120	0
1700500552.266927	2400.0	4.321277000000009	6.976	1393787	12976	0
1700500554.3424058	400.0	6.243432000000013	0.0	224488	2059	0
1700500570.1418347	2400.0	4.413421	9.97	1695850	15778	0
1700500571.4383283	400.0	7.115767000000005	0.0	140184	1274	0
1700500586.6946452	4800.0	4.320481999999998	8.46	1638000	15217	0
1700500587.6042976	400.0	7.410011999999995	0.0	97610	893	0
1700500614.2822912	4800.0	4.318825000000004	19.585	2865419	26644	0
1700500617.1083283	400.0	5.489387000000022	0.0	305181	2812	0
1700500619.1344297	800.0	7.4662589999999796	0.0	217384	2003	0
1700500630.1473637	4800.0	4.275639000000012	3.824	1183413	10989	0
1700500632.416372	400.0	6.012297999999987	0.0	241084	2242	0
1700500639.4329886	1200.0	4.417843000000005	1.426	755007	6993	0
1700500641.303436	400.0	6.544422999999995	0.0	200619	1856	0
1700500653.2362409	2400.0	4.279398000000015	5.668	1279678	11899	0
1700500655.157041	400.0	6.358227999999997	0.0	206459	1902	0
1700500663.2064195	2400.0	3.099059000000011	2.081	864469	8023	0
